hwb_class,sa_median_slight,sa_median_moderate,sa_median_extensive,sa_median_complete,sa_beta,pgd_median_slight,pgd_median_moderate,pgd_median_extensive,pgd_median_complete,pgd_beta
HWB1,0.40,0.50,0.70,0.90,0.6,3.9,3.9,3.9,13.8,0.2
HWB2,0.60,0.90,1.10,1.70,0.6,3.9,3.9,3.9,13.8,0.2
HWB3,0.80,1.00,1.20,1.70,0.6,3.9,3.9,3.9,13.8,0.2
HWB4,0.80,1.00,1.20,1.70,0.6,3.9,3.9,3.9,13.8,0.2
HWB5,0.25,0.35,0.45,0.70,0.6,3.9,3.9,3.9,13.8,0.2
HWB6,0.30,0.50,0.60,0.90,0.6,3.9,3.9,3.9,13.8,0.2
HWB7,0.50,0.80,1.10,1.70,0.6,3.9,3.9,3.9,13.8,0.2
HWB8,0.35,0.45,0.55,0.80,0.6,3.9,3.9,3.9,13.8,0.2
HWB9,0.60,0.90,1.30,1.60,0.6,3.9,3.9,3.9,13.8,0.2
HWB10,0.60,0.90,1.10,1.50,0.6,3.9,3.9,3.9,13.8,0.2
HWB11,0.90,0.90,1.10,1.50,0.6,3.9,3.9,3.9,13.8,0.2
HWB12,0.25,0.35,0.45,0.70,0.6,3.9,3.9,3.9,13.8,0.2
HWB13,0.30,0.50,0.60,0.90,0.6,3.9,3.9,3.9,13.8,0.2
HWB14,0.50,0.80,1.10,1.70,0.6,3.9,3.9,3.9,13.8,0.2
HWB15,0.75,0.75,0.75,1.10,0.6,3.9,3.9,3.9,13.8,0.2
HWB16,0.90,0.90,1.10,1.50,0.6,3.9,3.9,3.9,13.8,0.2
HWB17,0.25,0.35,0.45,0.70,0.6,3.9,3.9,3.9,13.8,0.2
HWB18,0.30,0.50,0.60,0.90,0.6,3.9,3.9,3.9,13.8,0.2
HWB19,0.50,0.80,1.10,1.70,0.6,3.9,3.9,3.9,13.8,0.2
HWB20,0.35,0.45,0.55,0.80,0.6,3.9,3.9,3.9,13.8,0.2
HWB21,0.60,0.90,1.30,1.60,0.6,3.9,3.9,3.9,13.8,0.2
HWB22,0.60,0.90,1.10,1.50,0.6,3.9,3.9,3.9,13.8,0.2
HWB23,0.90,0.90,1.10,1.50,0.6,3.9,3.9,3.9,13.8,0.2
HWB24,0.25,0.35,0.45,0.70,0.6,3.9,3.9,3.9,13.8,0.2
HWB25,0.30,0.50,0.60,0.90,0.6,3.9,3.9,3.9,13.8,0.2
HWB26,0.75,0.75,0.75,1.10,0.6,3.9,3.9,3.9,13.8,0.2
HWB27,0.75,0.75,0.75,1.10,0.6,3.9,3.9,3.9,13.8,0.2
HWB28,0.80,1.00,1.20,1.70,0.6,3.9,3.9,3.9,13.8,0.2
